arxiv_id,title,authors,year,venue,perspective,categories,contribution_type,relevance_to_RP,found_by_count,pdf_filename,url
2303.12570,RepoCoder: Repository-Level Code Completion Through Iterative Retrieval and Generation,Fengji Zhang et al.,2023,EMNLP 2023,AI/NLP,repo-level-codegen; retrieval-augmented; structure-aware-codegen; knowledge-grounded-codegen,Method; Benchmark,"RepoCoder's iterative retrieval over repository files directly addresses the Z/Spatial axis of TAC-Graph by exploiting cross-file code structure to provide relevant context, and its RepoEval benchmark could serve as an evaluation testbed for TAC-Graph's Form A (DSL-based context querying) for repo-level completion. The retrieval-augmented generation loop also parallels TAC-Graph's goal of pruning agent search by surfacing precise historical and structural context.",2,2303.12570.pdf,https://arxiv.org/abs/2303.12570
2306.03091,RepoBench: Benchmarking Repository-Level Code Auto-Completion Systems,Tianyang Liu et al.,2023,arXiv preprint,AI/NLP,repo-level-codegen; retrieval-augmented; swe-benchmark; structure-aware-codegen,Benchmark; Task-definition,RepoBench directly addresses the Spatial (Z) axis of TAC-Graph by requiring cross-file context retrieval that maps to file dependency and call-graph structure. Its retrieval and next-line prediction tasks are natural downstream evaluation targets for TAC-Graph's Form A (DSL-based context querying) and knowledge-grounded completion from the full 3D tensor.,1,2306.03091.pdf,https://arxiv.org/abs/2306.03091
2310.11248,CrossCodeEval: A Diverse and Multilingual Benchmark for Cross-File Code Completion,Yangruibo Ding et al.,2023,NeurIPS 2023 (Datasets and Benchmarks Track),AI/NLP,repo-level-codegen; retrieval-augmented; swe-benchmark; structure-aware-codegen,Benchmark; Task-definition,CrossCodeEval directly benchmarks the retrieval of cross-file context — the Spatial (Z) axis of TAC-Graph — making it a key evaluation reference for Form A's DSL query mechanism that pulls precise cross-file structural context. Its static-analysis-based dependency identification aligns with TAC-Graph's code-graph construction and validates the need for repository-level spatial representations beyond single-file ASTs.,1,2310.11248.pdf,https://arxiv.org/abs/2310.11248
2306.10998,RepoFusion: Training Code Models to Understand Your Repository,Disha Shrivastava et al.,2023,arXiv preprint,AI/NLP,repo-level-codegen; retrieval-augmented; knowledge-grounded-codegen; structure-aware-codegen,Method; Benchmark,"RepoFusion directly addresses the Z/Spatial axis of TAC-Graph by injecting repository structural context (imports, class hierarchies) into code models, illustrating how cross-dimension projection of repo structure can improve code completion. The Stack-Repo dataset and context-type ablations provide concrete baselines for evaluating TAC-Graph's history-aware AST and Form A query-based context retrieval.",1,2306.10998.pdf,https://arxiv.org/abs/2306.10998
2212.10007,CoCoMIC: Code Completion By Jointly Modeling In-file and Cross-file Context,Yangruibo Ding et al.,2022,arXiv preprint,AI/NLP,repo-level-codegen; retrieval-augmented; structure-aware-codegen; knowledge-grounded-codegen,Method,"CoCoMIC directly addresses the Z/Spatial axis of TAC-Graph by retrieving cross-file structural dependencies (imports, API calls) to augment code completion, which aligns with TAC-Graph's code-graph and file-dependency layers. The CCFINDER retrieval mechanism is analogous to TAC-Graph's Form A (DSL-based querying of spatial context), demonstrating how structured cross-file context retrieval improves coding agent performance.",1,2212.10007.pdf,https://arxiv.org/abs/2212.10007
2206.12839,Repository-Level Prompt Generation for Large Language Models of Code,Disha Shrivastava et al.,2023,ICML 2023,AI/NLP,repo-level-codegen; retrieval-augmented; knowledge-grounded-codegen; structure-aware-codegen,Method,"This work directly addresses the Z/Spatial axis of TAC-Graph by mining repository structure (imports, file dependencies) to construct context-rich prompts, paralleling TAC-Graph's Form A DSL that queries the spatial code graph for relevant context. It also serves as a baseline for how much improvement repo-level context retrieval can provide to coding agents, a key downstream use case for TAC-Graph.",1,2206.12839.pdf,https://arxiv.org/abs/2206.12839
2312.05772,"A^3-CodGen: A Repository-Level Code Generation Framework for Code Reuse with Local-Aware, Global-Aware, and Third-Party-Library-Aware",Dianshu Liao et al.,2023,arXiv preprint,AI/NLP,repo-level-codegen; retrieval-augmented; structure-aware-codegen; api-knowledge,Method,"This paper directly addresses TAC-Graph's Z/Spatial axis by leveraging repository structure (local file context, cross-file dependencies, and external API knowledge) for code generation, analogous to TAC-Graph's code-graph and call-graph components. Its three-tier context hierarchy (local, global, library) maps naturally onto TAC-Graph's Form A DSL querying strategy for pulling precise spatial context into a coding agent.",1,2312.05772.pdf,https://arxiv.org/abs/2312.05772
2403.10059,Repoformer: Selective Retrieval for Repository-Level Code Completion,Di Wu et al.,2024,ICML 2024,AI/NLP,repo-level-codegen; retrieval-augmented; structure-aware-codegen; context-compression,Method; Benchmark,"Repoformer's selective retrieval over repository context directly informs TAC-Graph's Z (Spatial) axis by demonstrating how code structure and cross-file dependencies can be selectively pulled into generation, analogous to Form A's Query(Target, History, Agent_Trace) DSL that retrieves precise context on demand. Its self-evaluation mechanism for deciding when retrieval helps is relevant to TAC-Graph's Trajectory Optimization task, where pruning unnecessary context lookups mirrors pruning wasteful agent search steps.",1,2403.10059.pdf,https://arxiv.org/abs/2403.10059
2403.06095,RepoHyper: Search-Expand-Refine on Semantic Graphs for Repository-Level Code Completion,Huy N. Phan et al.,2024,arXiv preprint,AI/NLP,repo-level-codegen; code-graph; retrieval-augmented; structure-aware-codegen,Method,"The RSG construction directly maps to TAC-Graph's Z/Spatial axis (code structure, file dependencies, call graphs), and the graph-expansion retrieval strategy is relevant to Form A's QueryDSL that pulls precise cross-file context. It serves as a strong baseline for repo-level graph retrieval that TAC-Graph extends by adding temporal and agentic axes.",1,2403.06095.pdf,https://arxiv.org/abs/2403.06095
2405.19782,Dataflow-Guided Retrieval Augmentation for Repository-Level Code Completion,Wei Cheng et al.,2024,ACL 2024,AI/NLP,repo-level-codegen; retrieval-augmented; code-graph; structure-aware-codegen,Method; Benchmark,"DraCo's dataflow-based repository graph directly instantiates TAC-Graph's Z (Spatial) axis by linking code entities through data-flow relations for context retrieval, demonstrating a concrete technique for the cross-dimension projection goal. The ReccEval benchmark and retrieval framing also inform Form A (DSL-style querying of structured repo context) by showing how graph-derived structure can sharpen LLM code completion.",1,2405.19782.pdf,https://arxiv.org/abs/2405.19782
2406.07003,GraphCoder: Enhancing Repository-Level Code Completion via Code Context Graph-based Retrieval and Language Model,Wei Liu et al.,2024,arXiv preprint,AI/NLP,repo-level-codegen; retrieval-augmented; code-graph; structure-aware-codegen,Method,"GraphCoder's Code Context Graph (CCG) directly maps to TAC-Graph's Z/Spatial axis by fusing control-flow and data-dependence into a graph structure used for context retrieval. Its coarse-to-fine graph-based retrieval over a repository is a concrete instantiation of TAC-Graph's Form A (DSL-style query for pulling precise spatial context), demonstrating how structure-aware graph retrieval improves code generation at repository scale.",2,2406.07003.pdf,https://arxiv.org/abs/2406.07003
2406.01359,R2C2-Coder: Enhancing and Benchmarking Real-world Repository-level Code Completion Abilities of Code Large Language Models,Ken Deng et al.,2024,arXiv preprint,AI/NLP,repo-level-codegen; retrieval-augmented; structure-aware-codegen; swe-benchmark,Method; Benchmark,"R2C2-Coder directly addresses the Z/Spatial axis of TAC-Graph by building retrieval pools from repository structure (files, APIs, dependencies) to construct context-aware prompts, informing how the GraphQL-like DSL (Form A) might surface relevant cross-file context. Its R2C2-Bench benchmark also provides an evaluation framework applicable to measuring how well TAC-Graph's spatial axis improves code completion.",1,2406.01359.pdf,https://arxiv.org/abs/2406.01359
2310.06770,SWE-bench: Can Language Models Resolve Real-World GitHub Issues?,Carlos E. Jimenez et al.,2023,ICLR 2024,AI/NLP,swe-benchmark; coding-agent; repo-level-codegen; mining-software-repos,Benchmark; Task-definition,"SWE-bench operationalizes the agentic axis of TAC-Graph by providing a corpus of real GitHub issue-resolution trajectories that span repository-level code navigation, multi-file edits, and iterative debugging — exactly the agent traces TAC-Graph's Y-axis is designed to capture. Its task formulation (link issue → locate relevant code → patch) maps directly to TAC-Graph's downstream Task Untangling and Trajectory Optimization applications.",1,2310.06770.pdf,https://arxiv.org/abs/2310.06770
2405.15793,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,John Yang et al.,2024,arXiv preprint,AI/NLP,coding-agent; swe-benchmark; repo-level-codegen; agent-trajectory,Method; Benchmark; Baseline,SWE-agent directly populates TAC-Graph's Y (Agentic) axis: its ACI-mediated read/write/search/test operations are exactly the agent trajectory events that the agentic axis encodes. Its structured interaction traces also serve as a concrete source of agent-trajectory data for Trajectory Optimization and cross-dimension projection with git history (X axis).,1,2405.15793.pdf,https://arxiv.org/abs/2405.15793
2404.05427,AutoCodeRover: Autonomous Program Improvement,Yuntong Zhang et al.,2024,ISSTA 2024,AI/NLP,coding-agent; repo-level-codegen; swe-benchmark; structure-aware-codegen,Method; Benchmark,"AutoCodeRover's AST-aware repository navigation directly informs TAC-Graph's Z (Spatial) axis, demonstrating how structured code graphs improve agent context retrieval. Its agent trajectory of search/localize/patch operations exemplifies the Y (Agentic) axis data that TAC-Graph's Form A DSL would need to query and that trajectory optimization could learn from.",1,2404.05427.pdf,https://arxiv.org/abs/2404.05427
2407.01489,Agentless: Demystifying LLM-based Software Engineering Agents,Chunqiu Steven Xia et al.,2024,arXiv preprint,AI/NLP,coding-agent; repo-level-codegen; swe-benchmark; agent-trajectory,Method; Baseline; Benchmark,"Agentless provides a strong baseline for the Y (Agentic) axis of TAC-Graph: its explicit localization-repair-validation trace is a clean, interpretable agent trajectory that could seed the agentic-axis data the representation needs. Its repository-level fault localization also directly informs how the Spatial (Z) axis structure can be queried to guide agent search, relevant to TAC-Graph's Trajectory Optimization downstream task.",1,2407.01489.pdf,https://arxiv.org/abs/2407.01489
2407.16741,OpenHands: An Open Platform for AI Software Developers as Generalist Agents,Xingyao Wang et al.,2024,ICLR 2025,AI/NLP,coding-agent; agent-trajectory; swe-benchmark; repo-level-codegen,Method; Benchmark; Baseline,OpenHands directly instantiates the Y (Agentic) axis of TAC-Graph by recording agent trajectories — read/write/search/bash operations — that TAC-Graph proposes to index and compress. Its multi-agent and sandboxed execution infrastructure makes it a natural source of agent-trace data for populating the agentic dimension and evaluating trajectory optimization downstream tasks.,1,2407.16741.pdf,https://arxiv.org/abs/2407.16741
2402.01030,Executable Code Actions Elicit Better LLM Agents,Xingyao Wang et al.,2024,ICML 2024,AI/NLP,coding-agent; agent-trajectory; repo-level-codegen; swe-benchmark,Method; Benchmark,"CodeAct's executable code action space and multi-turn self-debug loop directly instantiates the Y (Agentic) axis of TAC-Graph, providing a concrete source of agent trajectories (read/write/execute ops, error-retry sequences) that could be ingested as agentic-axis traces. The CodeActInstruct dataset of multi-turn interactions is also a potential training resource for Trajectory Optimization tasks within the TAC-Graph framework.",1,2402.01030.pdf,https://arxiv.org/abs/2402.01030
2406.01422,Alibaba LingmaAgent: Improving Automated Issue Resolution via Comprehensive Repository Exploration,Yingwei Ma et al.,2024,arXiv preprint,AI/NLP,coding-agent; repo-level-codegen; swe-benchmark; agent-trajectory,Method; Benchmark,"LingmaAgent's knowledge graph over repository structure directly instantiates the Z (Spatial) axis of TAC-Graph, while its Monte Carlo tree search exploration log provides concrete agentic trajectory data for the Y (Agentic) axis. The agent's query-driven navigation of repo context also connects to TAC-Graph's Form A (GraphQL-like DSL for pulling targeted cross-axis context).",1,2406.01422.pdf,https://arxiv.org/abs/2406.01422
2410.14684,RepoGraph: Enhancing AI Software Engineering with Repository-level Code Graph,Siru Ouyang et al.,2024,ICLR 2025,AI/NLP,coding-agent; repo-level-codegen; code-graph; swe-benchmark,Method,"RepoGraph directly addresses the Z (Spatial) axis of TAC-Graph by building a repository-level code graph that exposes call graphs, file dependencies, and structural relationships for agent navigation. Its plug-in design for coding agents parallels TAC-Graph's Form A (DSL-based querying) goal of letting agents pull precise structural context from the codebase graph.",1,2410.14684.pdf,https://arxiv.org/abs/2410.14684
2412.21139,Training Software Engineering Agents and Verifiers with SWE-Gym,Jiayi Pan et al.,2024,ICML 2025,AI/NLP,coding-agent; swe-benchmark; agent-trajectory; repo-level-codegen,Benchmark; Method,"SWE-Gym's released agent trajectories directly populate the Y (Agentic) axis of TAC-Graph — read/write/search operations and debug trial-and-error on real repositories — providing training data for trajectory optimization. The benchmark's repository-level tasks also ground the Z (Spatial) axis, linking agent actions to concrete code structures.",1,2412.21139.pdf,https://arxiv.org/abs/2412.21139
2411.00622,Lingma SWE-GPT: An Open Development-Process-Centric Language Model for Automated Software Improvement,Yingwei Ma et al.,2024,arXiv preprint,AI/NLP,coding-agent; swe-benchmark; repo-level-codegen; agent-trajectory,Method; Benchmark; Baseline,"The development-process-centric training data (tool use, thought processes, commit patterns) directly instantiates TAC-Graph's Agentic axis (Y), providing empirical evidence that encoding agent trajectories improves repository-level task resolution. Its issue-resolution agent loop also serves as a concrete downstream application for TAC-Graph's Trajectory Optimization task.",1,2411.00622.pdf,https://arxiv.org/abs/2411.00622
2002.08155,CodeBERT: A Pre-Trained Model for Programming and Natural Languages,Zhangyin Feng et al.,2020,Findings of EMNLP 2020,AI/NLP,structure-aware-codegen; knowledge-grounded-codegen; gnn-for-code; program-comprehension,Method; Baseline,"CodeBERT provides a foundational pre-trained code representation that can serve as a baseline encoder for TAC-Graph's spatial (Z) axis, grounding code semantics in bimodal NL-PL embeddings. Its approach to learning unified code-language representations is directly relevant to Form B's Graph-VAE compression of the 3D tensor into latent embeddings for soft-prompt or prefix-tuning use.",1,2002.08155.pdf,https://arxiv.org/abs/2002.08155
2009.08366,GraphCodeBERT: Pre-training Code Representations with Data Flow,Daya Guo et al.,2021,ICLR 2021,AI/NLP,code-graph; gnn-for-code; structure-aware-codegen; graph-ssl,Method; Baseline,"GraphCodeBERT's data-flow graph encoding directly instantiates TAC-Graph's Z (Spatial) axis by embedding DFG structure into code representations, and serves as a strong baseline for the graph-aware encoder components of both Form A (DSL-based context retrieval) and Form B (Graph-VAE latent embeddings). Its structure-aware pre-training paradigm informs how cross-dimension projections can fuse graph signals into language model representations.",2,2009.08366.pdf,https://arxiv.org/abs/2009.08366
2206.05239,StructCoder: Structure-Aware Transformer for Code Generation,Sindhu Tipirneni et al.,2022,arXiv preprint,AI/NLP,structure-aware-codegen; gnn-for-code; code-graph; knowledge-grounded-codegen,Method; Baseline,"StructCoder directly informs TAC-Graph's Spatial (Z) axis by demonstrating how ASTs and data-flow graphs can be fused into Transformer architectures for code understanding and generation. Its auxiliary structure-prediction tasks offer a concrete modeling precedent for the ""history-aware AST"" cross-dimension projection proposed in TAC-Graph.",1,2206.05239.pdf,https://arxiv.org/abs/2206.05239
2203.03850,UniXcoder: Unified Cross-Modal Pre-training for Code Representation,Daya Guo et al.,2022,ACL 2022,AI/NLP,structure-aware-codegen; gnn-for-code; code-graph; graph-ssl,Method; Baseline,"UniXcoder's AST-aware cross-modal pretraining directly underpins TAC-Graph's Z/Spatial axis, demonstrating how structural code representations (ASTs, call graphs) can be encoded alongside natural-language context. Its sequential AST linearization and contrastive alignment techniques are relevant to the history-aware AST cross-dimension projection proposed in TAC-Graph.",1,2203.03850.pdf,https://arxiv.org/abs/2203.03850
2401.03003,AST-T5: Structure-Aware Pretraining for Code Generation and Understanding,Linyuan Gong et al.,2024,ICML 2024,AI/NLP,structure-aware-codegen; code-graph; gnn-for-code; soft-prompt,Method,"AST-T5 directly informs TAC-Graph's Z (Spatial) axis by showing how AST structure can be incorporated into pretraining objectives without modifying the model architecture, which is relevant to cross-dimension projection that injects structural context into history-aware representations. Its span corruption approach over AST segments is a concrete technique for encoding code structure that could complement the graph-based spatial representations in TAC-Graph's Form B (Graph-VAE embeddings).",1,2401.03003.pdf,https://arxiv.org/abs/2401.03003
2105.12485,TreeBERT: A Tree-Based Pre-Trained Model for Programming Language,Xue Jiang et al.,2021,UAI 2021,AI/NLP,structure-aware-codegen; code-graph; gnn-for-code; program-comprehension,Method,TreeBERT directly informs the TAC-Graph Z (Spatial) axis by demonstrating how AST structure can be encoded into pre-trained representations via composition paths and positional node embeddings. Its tree-masked pre-training approach is relevant to TAC-Graph's cross-dimension projection goal of injecting structural code semantics into history-aware representations.,1,2105.12485.pdf,https://arxiv.org/abs/2105.12485
1711.00740,Learning to Represent Programs with Graphs,Miltiadis Allamanis et al.,2018,ICLR 2018,AI/NLP,code-graph; gnn-for-code; structure-aware-codegen; defect-prediction,Method; Baseline,"This paper is a foundational work for TAC-Graph's Spatial (Z) axis, establishing that fusing AST with data/control-flow edges into a unified program graph and running GNNs over it yields strong code representations. Its graph construction methodology directly informs the ""history-aware AST"" and cross-dimension projection ideas in TAC-Graph's spatial layer.",1,1711.00740.pdf,https://arxiv.org/abs/1711.00740
1803.09473,code2vec: Learning Distributed Representations of Code,Uri Alon et al.,2019,POPL 2019,AI/NLP,code-graph; structure-aware-codegen; gnn-for-code; program-comprehension,Method; Baseline,"code2vec's AST-path decomposition directly underpins the Spatial (Z) axis of TAC-Graph, providing a foundational technique for encoding code structure into distributed vectors that can be fused with temporal and agentic signals. Its learned embeddings serve as a natural baseline for the cross-dimension projection and Graph-VAE (Form B) components of the TAC-Graph framework.",1,1803.09473.pdf,https://arxiv.org/abs/1803.09473
2306.00210,PERFOGRAPH: A Numerical Aware Program Graph Representation for Performance Optimization and Program Analysis,Ali TehraniJamsaz et al.,2023,arXiv preprint,AI/NLP,code-graph; gnn-for-code; structure-aware-codegen; program-comprehension,Method; Benchmark,PERFOGRAPH's numerical-aware program graph representation directly informs the Z/Spatial axis of TAC-Graph by demonstrating how enriched graph nodes and edges (beyond plain AST/CFG) capture semantic code properties that support downstream analysis tasks. Its graph construction methodology and embedding strategy offer design patterns reusable in TAC-Graph's history-aware AST and cross-dimension projection.,1,2306.00210.pdf,https://arxiv.org/abs/2306.00210
2303.11366,Reflexion: Language Agents with Verbal Reinforcement Learning,Noah Shinn et al.,2023,arXiv preprint,AI/NLP,coding-agent; agent-trajectory; agent-memory; soft-prompt,Method,"Reflexion's verbal memory and iterative self-reflection over agent trajectories directly informs TAC-Graph's Agentic (Y) axis, where chain-of-thought and debug trial-and-error traces are stored and replayed. Its trajectory optimization via contrastive successful/failed attempts maps onto TAC-Graph's Trajectory Optimization downstream task of pruning agent search using successful vs. failed 3D subgraph comparisons.",1,2303.11366.pdf,https://arxiv.org/abs/2303.11366
2305.16291,Voyager: An Open-Ended Embodied Agent with Large Language Models,Guanzhi Wang et al.,2023,arXiv preprint,AI/NLP,coding-agent; agent-trajectory; agent-memory; knowledge-grounded-codegen,Method,"Voyager's skill library (storing agent-generated code trajectories) and iterative self-verification loop directly inform TAC-Graph's Agentic (Y) axis, providing a concrete architecture for capturing and replaying agent experience. Its trajectory-as-code paradigm is a natural precursor to TAC-Graph's Trajectory Optimization task, where successful vs. failed agent subgraphs are contrasted to prune future search.",1,2305.16291.pdf,https://arxiv.org/abs/2305.16291
2308.10144,ExpeL: LLM Agents Are Experiential Learners,Andrew Zhao et al.,2023,AAAI 2024,AI/NLP,coding-agent; agent-trajectory; agent-memory; knowledge-grounded-codegen,Method,"ExpeL's mechanism of accumulating and querying agent experience traces directly maps to the TAC-Graph Y (Agentic) axis, where successful vs. failed agent trajectories are stored and mined. The experiential knowledge extraction aligns with TAC-Graph's Trajectory Optimization direction — pruning agent search by contrasting successful and failed 3D subgraphs.",1,2308.10144.pdf,https://arxiv.org/abs/2308.10144
2409.07429,Agent Workflow Memory,Zora Zhiruo Wang et al.,2024,arXiv preprint,AI/NLP,agent-trajectory; agent-memory; coding-agent; knowledge-grounded-codegen,Method,"AWM's mechanism of inducing and storing reusable workflows from agent trajectories directly informs TAC-Graph's Y/Agentic axis, providing a concrete technique for compressing and replaying agent chain-of-thought and action sequences. The workflow memory abstraction maps naturally onto TAC-Graph's Trajectory Optimization task, where successful vs. failed agentic subgraphs are contrasted to prune future agent search.",1,2409.07429.pdf,https://arxiv.org/abs/2409.07429
2306.07863,Synapse: Trajectory-as-Exemplar Prompting with Memory for Computer Control,Longtao Zheng et al.,2023,ICLR 2024,AI/NLP,agent-trajectory; agent-memory; coding-agent; retrieval-augmented,Method,"Directly addresses TAC-Graph's Y (Agentic) axis by treating full agent trajectories as retrievable exemplars stored in memory, providing a concrete mechanism for trajectory-based context retrieval analogous to Form A's DSL querying of agent traces. The memory-indexed trajectory approach informs TAC-Graph's Trajectory Optimization task, where successful vs. failed agent subgraphs could be stored and retrieved to prune future search.",1,2306.07863.pdf,https://arxiv.org/abs/2306.07863
2310.04406,Language Agent Tree Search Unifies Reasoning Acting and Planning in Language Models,Andy Zhou et al.,2023,arXiv preprint,AI/NLP,agent-trajectory; coding-agent; agent-memory; soft-prompt,Method,"LATS directly informs the TAC-Graph's Agentic (Y) axis by providing a structured tree representation of agent reasoning and acting trajectories, which maps naturally onto the chain-of-thought and trial-and-error sequences the RP aims to encode. The MCTS-based trajectory search and self-reflection mechanism are directly applicable to TAC-Graph's Trajectory Optimization task, where successful vs. failed 3D subgraphs guide pruning of agent search paths.",1,2310.04406.pdf,https://arxiv.org/abs/2310.04406
2310.05915,FireAct: Toward Language Agent Fine-tuning,Baian Chen et al.,2023,arXiv preprint,AI/NLP,agent-trajectory; coding-agent; soft-prompt; knowledge-grounded-codegen,Method; Benchmark,"FireAct directly addresses TAC-Graph's Y (Agentic) axis by showing that agent trajectories — sequences of tool calls, reasoning steps, and observations — can be harvested and used to fine-tune models, paralleling TAC-Graph's goal of mining agent traces for Trajectory Optimization. Its trajectory-dataset construction and multi-task fine-tuning paradigm are relevant to Form B (Graph-VAE latent embedding) and to pruning/optimizing agent search using contrasted successful vs. failed trajectory subgraphs.",1,2310.05915.pdf,https://arxiv.org/abs/2310.05915
2304.03442,Generative Agents: Interactive Simulacra of Human Behavior,Joon Sung Park et al.,2023,arXiv preprint,AI/NLP,agent-trajectory; agent-memory; coding-agent; soft-prompt,Method,"The agent memory-reflection-planning architecture directly parallels TAC-Graph's Agentic (Y) axis, which captures coding-agent trajectories including chain-of-thought, trial-and-error, and context retrieval. The memory retrieval and reflection mechanisms inform how TAC-Graph might compress and query agent trace history (Form A DSL queries and Form B latent embeddings for trajectory optimization).",1,2304.03442.pdf,https://arxiv.org/abs/2304.03442
2407.04363,AriGraph: Learning Knowledge Graph World Models with Episodic Memory for LLM Agents,Petr Anokhin et al.,2024,arXiv preprint,AI/NLP,agent-memory; agent-trajectory; knowledge-grounded-codegen; code-graph,Method,"AriGraph's fusion of episodic and semantic memory into a dynamically updated knowledge graph directly parallels TAC-Graph's Agentic (Y) axis, where agent trajectories—read/write ops, debug steps, chain-of-thought—must be structured and queryable. Its world-model framing also informs Form A (DSL-based querying of agent history) and the Trajectory Optimization task, where contrasting successful vs. failed subgraphs benefits from the same episodic-memory distinction AriGraph formalizes.",1,2407.04363.pdf,https://arxiv.org/abs/2407.04363
2308.03688,AgentBench: Evaluating LLMs as Agents,Xiao Liu et al.,2023,ICLR 2024,AI/NLP,coding-agent; agent-trajectory; swe-benchmark; agent-memory,Benchmark; Task-definition,"AgentBench's characterization of LLM agent trajectories across multi-step interactive environments directly informs the Y (Agentic) axis of TAC-Graph, providing evaluation protocols and failure-mode taxonomy (long-term reasoning, instruction-following) relevant to trajectory optimization over successful vs. failed agent action sequences.",1,2308.03688.pdf,https://arxiv.org/abs/2308.03688
2207.05987,DocPrompting: Generating Code by Retrieving the Docs,Shuyan Zhou et al.,2023,ICLR 2023,SE,retrieval-augmented; knowledge-grounded-codegen; api-knowledge; structure-aware-codegen,Method; Benchmark,DocPrompting's retrieval-augmented approach to grounding code generation in API documentation directly informs TAC-Graph's Z-axis (spatial/API call-graph knowledge) and Form A's DSL querying of prior knowledge. The idea of dynamically fetching relevant external context mirrors TAC-Graph's goal of injecting history-aware and API-aware context into code agents.,1,2207.05987.pdf,https://arxiv.org/abs/2207.05987
